consent_id,customer_id,consent_type,consent_status,legal_basis,granted_date,withdrawn_date,source_channel,captured_by_upn
----------,-----------,------------,--------------,-----------,------------,--------------,--------------,---------------
1,1,Marketing-Email,Granted,CASL,2026-05-29,NULL,CallCenter,Rupal.Solanki@enercare.ca
2,1,Marketing-SMS,Granted,CASL,2026-05-16,NULL,CallCenter,Rupal.Solanki@enercare.ca
3,1,Data-Sharing,Granted,PIPEDA,2026-05-03,NULL,CallCenter,Rupal.Solanki@enercare.ca
4,1,Retention,Withdrawn,PIPEDA,2026-04-20,NULL,CallCenter,Rupal.Solanki@enercare.ca
5,2,Marketing-Email,Granted,CASL,2026-05-22,NULL,CallCenter,Rupal.Solanki@enercare.ca
6,2,Marketing-SMS,Granted,CASL,2026-05-09,NULL,CallCenter,Rupal.Solanki@enercare.ca
7,2,Data-Sharing,Withdrawn,PIPEDA,2026-04-26,NULL,CallCenter,Rupal.Solanki@enercare.ca
8,2,Retention,Granted,PIPEDA,2026-04-13,NULL,CallCenter,Rupal.Solanki@enercare.ca
9,3,Marketing-Email,Granted,CASL,2026-05-15,NULL,CallCenter,Rupal.Solanki@enercare.ca
10,3,Marketing-SMS,Withdrawn,CASL,2026-05-02,NULL,CallCenter,Rupal.Solanki@enercare.ca
11,3,Data-Sharing,Granted,PIPEDA,2026-04-19,NULL,CallCenter,Rupal.Solanki@enercare.ca
12,3,Retention,Granted,PIPEDA,2026-04-06,NULL,CallCenter,Rupal.Solanki@enercare.ca
13,4,Marketing-Email,Withdrawn,CASL,2026-05-08,NULL,CallCenter,Rupal.Solanki@enercare.ca
14,4,Marketing-SMS,Granted,CASL,2026-04-25,NULL,CallCenter,Rupal.Solanki@enercare.ca
15,4,Data-Sharing,Granted,PIPEDA,2026-04-12,NULL,CallCenter,Rupal.Solanki@enercare.ca
16,4,Retention,Granted,PIPEDA,2026-03-30,NULL,CallCenter,Rupal.Solanki@enercare.ca
17,5,Marketing-Email,Granted,CASL,2026-05-01,NULL,CallCenter,Rupal.Solanki@enercare.ca
18,5,Marketing-SMS,Granted,CASL,2026-04-18,NULL,CallCenter,Rupal.Solanki@enercare.ca
19,5,Data-Sharing,Granted,PIPEDA,2026-04-05,NULL,CallCenter,Rupal.Solanki@enercare.ca
20,5,Retention,Granted,PIPEDA,2026-03-23,NULL,CallCenter,Rupal.Solanki@enercare.ca
21,6,Marketing-Email,Granted,CASL,2026-04-24,NULL,CallCenter,Rupal.Solanki@enercare.ca
22,6,Marketing-SMS,Granted,CASL,2026-04-11,NULL,CallCenter,Rupal.Solanki@enercare.ca
23,6,Data-Sharing,Granted,PIPEDA,2026-03-29,NULL,CallCenter,Rupal.Solanki@enercare.ca
24,6,Retention,Withdrawn,PIPEDA,2026-03-16,NULL,CallCenter,Rupal.Solanki@enercare.ca
25,7,Marketing-Email,Granted,CASL,2026-04-17,NULL,CallCenter,Rupal.Solanki@enercare.ca
26,7,Marketing-SMS,Granted,CASL,2026-04-04,NULL,CallCenter,Rupal.Solanki@enercare.ca
27,7,Data-Sharing,Withdrawn,PIPEDA,2026-03-22,NULL,CallCenter,Rupal.Solanki@enercare.ca
28,7,Retention,Granted,PIPEDA,2026-03-09,NULL,CallCenter,Rupal.Solanki@enercare.ca
29,8,Marketing-Email,Granted,CASL,2026-04-10,NULL,CallCenter,Rupal.Solanki@enercare.ca
30,8,Marketing-SMS,Withdrawn,CASL,2026-03-28,NULL,CallCenter,Rupal.Solanki@enercare.ca
31,8,Data-Sharing,Granted,PIPEDA,2026-03-15,NULL,CallCenter,Rupal.Solanki@enercare.ca
32,8,Retention,Granted,PIPEDA,2026-03-02,NULL,CallCenter,Rupal.Solanki@enercare.ca
33,9,Marketing-Email,Withdrawn,CASL,2026-04-03,NULL,CallCenter,Rupal.Solanki@enercare.ca
34,9,Marketing-SMS,Granted,CASL,2026-03-21,NULL,CallCenter,Rupal.Solanki@enercare.ca
35,9,Data-Sharing,Granted,PIPEDA,2026-03-08,NULL,CallCenter,Rupal.Solanki@enercare.ca
